Sample,GEO_ID
X204018770007_R04C01,GSM6980063
X204018770007_R05C01,GSM6980064
X204018770007_R06C01,GSM6980065
X204018770007_R01C02,GSM6980066
X204018770007_R02C02,GSM6980067
X204018770007_R03C02,GSM6980068
X204018770007_R04C02,GSM6980069
X204018770007_R05C02,GSM6980070
X204018770007_R06C02,GSM6980071
X204529320026_R01C01,GSM6980072
X204529320026_R02C01,GSM6980073
X204529320026_R04C01,GSM6980074
X204529320026_R05C01,GSM6980075
X204529320026_R06C01,GSM6980076
X204529320026_R01C02,GSM6980077
X204529320026_R02C02,GSM6980078
X204529320026_R03C02,GSM6980079
X204529320026_R04C02,GSM6980080
X204529320026_R05C02,GSM6980081
X204529320026_R06C02,GSM6980082
X204529320012_R01C01,GSM6980083
X204529320012_R02C01,GSM6980084
X204529320012_R03C01,GSM6980085
X204529320012_R04C01,GSM6980086
X204529320012_R05C01,GSM6980087
X204529320012_R06C01,GSM6980088
X204529320012_R01C02,GSM6980089
X204529320012_R02C02,GSM6980090
X204529320012_R03C02,GSM6980091
X204529320012_R04C02,GSM6980092
X204529320012_R05C02,GSM6980093
X204529320012_R06C02,GSM6980094
X204529320006_R01C01,GSM6980095
X204529320006_R02C01,GSM6980096
X204529320006_R03C01,GSM6980097
X204529320006_R04C01,GSM6980098
X204529320006_R05C01,GSM6980099
X204529320006_R06C01,GSM6980100
X204529320006_R01C02,GSM6980101
X204529320006_R02C02,GSM6980102
X204529320006_R03C02,GSM6980103
X204529320006_R04C02,GSM6980104
X204529320006_R05C02,GSM6980105
X204529320006_R06C02,GSM6980106
X204551090027_R01C01,GSM6980107
X204551090027_R02C01,GSM6980108
X204551090027_R03C01,GSM6980109
X204551090027_R04C01,GSM6980110
X204551090027_R05C01,GSM6980111
X204551090027_R06C01,GSM6980112
X204551090027_R01C02,GSM6980113
X204551090027_R02C02,GSM6980114
X204551090027_R03C02,GSM6980115
X204551090027_R04C02,GSM6980116
X204551090059_R01C01,GSM6980117
X204551090059_R02C01,GSM6980118
X204551090059_R03C01,GSM6980119
X204551090059_R04C01,GSM6980120
X204551090059_R05C01,GSM6980121
X204551090059_R06C01,GSM6980122
X204551090059_R01C02,GSM6980123
X204551090059_R02C02,GSM6980124
X204551090059_R03C02,GSM6980125
X204551090059_R04C02,GSM6980126
X204551090059_R05C02,GSM6980127
X204551090059_R06C02,GSM6980128
X204551090044_R01C01,GSM6980129
X204551090044_R02C01,GSM6980130
X204551090044_R03C01,GSM6980131
X204551090044_R04C01,GSM6980132
X204551090044_R05C01,GSM6980133
X204551090044_R06C01,GSM6980134
X204551090044_R01C02,GSM6980135
X204551090044_R02C02,GSM6980136
X204551090044_R03C02,GSM6980137
X204551090044_R04C02,GSM6980138
X204551090044_R05C02,GSM6980139
X204551090044_R06C02,GSM6980140
X204551090078_R01C01,GSM6980141
X204551090078_R02C01,GSM6980142
X204551090078_R03C01,GSM6980143
X204551090078_R04C01,GSM6980144
X204551090078_R05C01,GSM6980145
X204551090078_R06C01,GSM6980146
X204551090078_R01C02,GSM6980147
X204551090078_R02C02,GSM6980148
X204551090078_R03C02,GSM6980149
X204551090078_R04C02,GSM6980150
X204551090078_R05C02,GSM6980151
X204551090078_R06C02,GSM6980152
X204551090012_R01C01,GSM6980153
X204551090012_R02C01,GSM6980154
X204551090012_R03C01,GSM6980155
X204551090012_R04C01,GSM6980156
X204551090012_R05C01,GSM6980157
X204551090012_R06C01,GSM6980158
X204551090012_R01C02,GSM6980159
X204551090012_R02C02,GSM6980160
X204551090012_R03C02,GSM6980161
X204551090012_R04C02,GSM6980162
X204551090012_R05C02,GSM6980163
X204551090012_R06C02,GSM6980164
X204549720005_R03C02,GSM6980165
X204529320129_R01C01,GSM6980166
X204529320129_R02C01,GSM6980167
X204529320129_R03C01,GSM6980168
X204529320129_R04C01,GSM6980169
X204529320129_R05C01,GSM6980170
X204529320129_R06C01,GSM6980171
X204529320129_R01C02,GSM6980172
X204529320129_R02C02,GSM6980173
X204529320129_R03C02,GSM6980174
X204529320129_R04C02,GSM6980175
X204529320129_R05C02,GSM6980176
X204529320129_R06C02,GSM6980177
X204529320119_R01C01,GSM6980178
X204529320119_R02C01,GSM6980179
X204529320119_R03C01,GSM6980180
X204529320119_R04C01,GSM6980181
X204529320119_R05C01,GSM6980182
X204529320119_R06C01,GSM6980183
X204529320119_R01C02,GSM6980184
X204529320119_R02C02,GSM6980185
X204529320119_R03C02,GSM6980186
X204529320119_R04C02,GSM6980187
X204529320119_R05C02,GSM6980188
X204529320119_R06C02,GSM6980189
X204529320120_R01C01,GSM6980190
X204529320120_R02C01,GSM6980191
X204529320120_R03C01,GSM6980192
X204529320120_R04C01,GSM6980193
X204529320120_R05C01,GSM6980194
X204529320120_R06C01,GSM6980195
X204529320120_R01C02,GSM6980196
X204529320120_R02C02,GSM6980197
X204529320120_R03C02,GSM6980198
X204529320120_R04C02,GSM6980199
X204529320120_R05C02,GSM6980200
X204529320120_R06C02,GSM6980201
X205128010008_R01C01,GSM6980202
X205128010008_R02C01,GSM6980203
X205128010008_R03C01,GSM6980204
X205128010008_R04C01,GSM6980205
X205128010008_R05C01,GSM6980206
X205128010008_R06C01,GSM6980207
X205128010008_R01C02,GSM6980208
X205128010008_R02C02,GSM6980209
X205128010008_R03C02,GSM6980210
X205128010008_R04C02,GSM6980211
X205128010008_R05C02,GSM6980212
X205128010008_R06C02,GSM6980213
X205128010016_R01C01,GSM6980214
X205128010016_R02C01,GSM6980215
X205128010016_R03C01,GSM6980216
X205128010016_R04C01,GSM6980217
X205128010016_R05C01,GSM6980218
X205128010016_R06C01,GSM6980219
X205128010016_R01C02,GSM6980220
X205128010016_R02C02,GSM6980221
X205128010016_R03C02,GSM6980222
X205128010016_R04C02,GSM6980223
X205128010016_R05C02,GSM6980224
X205128010016_R06C02,GSM6980225
X205128010017_R01C01,GSM6980226
X205128010017_R02C01,GSM6980227
X205128010017_R03C01,GSM6980228
X205128010017_R04C01,GSM6980229
X205128010017_R05C01,GSM6980230
X205128010017_R06C01,GSM6980231
X205128010017_R01C02,GSM6980232
X205128010017_R02C02,GSM6980233
X205128010017_R03C02,GSM6980234
X205128010017_R04C02,GSM6980235
X205128010017_R05C02,GSM6980236
X205128010017_R06C02,GSM6980237
X205128010022_R01C01,GSM6980238
X205128010022_R02C01,GSM6980239
X205128010022_R03C01,GSM6980240
X205128010022_R04C01,GSM6980241
X205128010022_R05C01,GSM6980242
X205128010022_R06C01,GSM6980243
X205128010022_R01C02,GSM6980244
X205128010022_R02C02,GSM6980245
X205128010022_R03C02,GSM6980246
X205128010022_R04C02,GSM6980247
X205128010022_R05C02,GSM6980248
X205128010022_R06C02,GSM6980249
X205128010028_R01C01,GSM6980250
X205128010028_R02C01,GSM6980251
X205128010028_R03C01,GSM6980252
X205128010028_R04C01,GSM6980253
X205128010028_R05C01,GSM6980254
X205128010028_R06C01,GSM6980255
X205128010028_R01C02,GSM6980256
X205128010028_R02C02,GSM6980257
X205128010028_R03C02,GSM6980258
X205128010028_R04C02,GSM6980259
X205128010028_R05C02,GSM6980260
X205128010028_R06C02,GSM6980261
X205128010019_R01C01,GSM6980262
X205128010019_R02C01,GSM6980263
X205128010019_R03C01,GSM6980264
X205128010019_R04C01,GSM6980265
X205128010019_R05C01,GSM6980266
X205128010019_R06C01,GSM6980267
X205128010019_R01C02,GSM6980268
X205128010019_R02C02,GSM6980269
X205128010019_R03C02,GSM6980270
X205128010019_R04C02,GSM6980271
X205128010019_R05C02,GSM6980272
X205128010019_R06C02,GSM6980273
X205128010029_R01C01,GSM6980274
X205128010029_R02C01,GSM6980275
X205128010029_R03C01,GSM6980276
X205128010029_R04C01,GSM6980277
X205128010029_R05C01,GSM6980278
X205128010029_R06C01,GSM6980279
X205128010029_R01C02,GSM6980280
X205128010029_R02C02,GSM6980281
X205128010029_R03C02,GSM6980282
X205128010029_R04C02,GSM6980283
X205128010029_R05C02,GSM6980284
X205128010029_R06C02,GSM6980285
X205128010018_R01C01,GSM6980286
X205128010018_R02C01,GSM6980287
X205128010018_R03C01,GSM6980288
X205128010018_R04C01,GSM6980289
X205128010018_R05C01,GSM6980290
X205128010018_R06C01,GSM6980291
X205128010018_R01C02,GSM6980292
X205128010018_R02C02,GSM6980293
X205128010018_R03C02,GSM6980294
X205128010018_R04C02,GSM6980295
X205128010018_R05C02,GSM6980296
X205128010018_R06C02,GSM6980297
X205307780051_R03C02,GSM6980298
X205307780051_R04C02,GSM6980299
X205307780051_R05C02,GSM6980300
X205307780051_R06C02,GSM6980301
X205307780054_R01C01,GSM6980302
