SpeciesCommonName,SpeciesLatinName,Tissue,Female,Age,SID
Mouse,Mus musculus,WholeBrain,0,0.076716532,X204529320042_R03C02
Mouse,Mus musculus,WholeBrain,0,0.095895666,X204529320042_R04C01
Mouse,Mus musculus,WholeBrain,0,0.057537399,X204529320042_R04C02
Mouse,Mus musculus,WholeBrain,0,0.095895666,X204529320042_R05C01
Mouse,Mus musculus,WholeBrain,0,0.057537399,X204529320042_R05C02
Mouse,Mus musculus,WholeBrain,0,0.095895666,X204529320042_R06C01
Mouse,Mus musculus,WholeBrain,0,0.057537399,X204529320042_R06C02
Mouse,Mus musculus,Ear,0,0.076716532,X204529320046_R01C01
Mouse,Mus musculus,Ear,0,0.019179133,X204529320046_R01C02
Mouse,Mus musculus,Ear,0,0.076716532,X204529320046_R02C01
Mouse,Mus musculus,Ear,0,0.019179133,X204529320046_R02C02
Mouse,Mus musculus,Ear,0,0.076716532,X204529320046_R03C01
Mouse,Mus musculus,Ear,0,0.019179133,X204529320046_R03C02
Mouse,Mus musculus,Ear,0,0.057537399,X204529320046_R04C01
Mouse,Mus musculus,Ear,0,0.038358266,X204529320046_R04C02
Mouse,Mus musculus,Ear,0,0.057537399,X204529320046_R05C01
Mouse,Mus musculus,Ear,1,0.038358266,X204529320046_R05C02
Mouse,Mus musculus,Ear,0,0.057537399,X204529320046_R06C01
Mouse,Mus musculus,Ear,0,0.038358266,X204529320046_R06C02
Slender Horn gazelle,Gazella leptoceros,Blood,0,5.11156742,X204529320048_R01C01
Pacific white-sided dolphin,Lagenorhynchus obliquidens,Skin,1,4.585900068,X204529320048_R01C02
Killer whale,Orcinus orca,Skin,1,21.99589322,X204529320048_R02C01
Pacific white-sided dolphin,Lagenorhynchus obliquidens,Skin,0,1.349760438,X204529320048_R02C02
Killer whale,Orcinus orca,Skin,1,18.61738535,X204529320048_R03C01
Pacific white-sided dolphin,Lagenorhynchus obliquidens,Skin,0,0.432580424,X204529320048_R03C02
Killer whale,Orcinus orca,Skin,1,13.86995209,X204529320048_R04C01
Beluga whale,Delphinapterus leucas,Skin,0,34.98151951,X204529320048_R04C02
Killer whale,Orcinus orca,Skin,1,7.175906913,X204529320048_R05C01
Beluga whale,Delphinapterus leucas,Skin,1,32.84873374,X204529320048_R05C02
Pacific white-sided dolphin,Lagenorhynchus obliquidens,Skin,1,13.70841889,X204529320048_R06C01
Beluga whale,Delphinapterus leucas,Skin,0,11.03080082,X204529320048_R06C02
